"","BVSP.Open","BVSP.High","BVSP.Low","BVSP.Close","BVSP.Volume","BVSP.Adjusted"
"243",114313,115132,113712,115131,5784600,115131
"244",115133,115171,114526,115121,6887400,115121
"245",115119,115863,114964,115863,3995200,115863
"246",115864,117220,115673,117203,3788900,117203
"247",117205,117803,115995,116534,3905900,116534
"248",116530,117086,115790,115964,3667900,115964
"249",115652,118573,115649,118573,5162700,118573
"250",118564,118792,117341,117707,6834500,117707
"251",117707,117707,116269,116878,6570000,116878
"252",116872,117076,115965,116662,4854100,116662
"253",116667,117335,115693,116247,5910500,116247
"254",116248,116820,115411,115947,5953500,115947
"255",115948,116745,114952,115503,4783400,115503
"256",115503,117333,115503,117325,5685100,117325
"257",117325,117705,116610,117632,5361700,117632
"258",117632,117632,116188,116414,5569400,116414
"259",116415,117106,115961,116704,5422700,116704
"260",116710,118479,116710,118478,4947200,118478
"261",118478,118862,117928,118862,3843500,118862
"262",118861,118861,117026,117026,5085600,117026
"263",117035,118401,117035,118391,5765700,118391
"264",118391,119535,116906,119528,6572400,119528
"265",119528,119593,118108,118376,4778700,118376
"266",118347,118347,114376,114482,6097800,114482
"267",114482,116797,114475,116479,5229400,116479
